index,actor,detail
3930,Michael Palin,And...and...sue...so...the...the...intripid...
3931,Michael Palin,Intrepid RSM Urdoch and super...
3932,Michael Palin,Sapper MacDonald...mead...
3933,Michael Palin,Made their why...
3934,Michael Palin,Way toarra...
3935,Michael Palin,Towards the Rusty...Ritzy...
3936,Michael Palin,Russian bolder...
3937,Michael Palin,...and so RSM Urdoch and Sapper MacDonald made their way towards the Russian bolder...
3938,John Cleese,Penguins* yes* penguins. What relevance do penguins have to the furtherance of medical science? Well* strangely enough quite a lot* a major breakthrough* maybe. It was from such an unlikely beginning as an unwanted fungus accidentally growing on a sterile plate that Sir Alexander Fleming gave the world penicillin. James Watt watched an ordinary household kettle boiling and conceived the potentiality of steam power. Would Albert Einstein ever have hit upon the theory of relativity if he hadn't been clever? All these tremendous leaps forward have been taken in the dark. Would Rutherford ever have split the atom if he hadn't tried? Could Marconi have invented the radio if he hadn't by pure chance spent years working at the problem? Are these amazing breakthroughs ever achieved except by years and years of unremitting study? Of course not. What I said earlier about accidental discoveries must have been wrong. Nevertheless scientists believe that these penguins* these comic flightless web-footed little bastards may finally unwittingly help man to fathom the uncharted depths of the human mind. Professor Rosewall of the Laver Institute.
3939,Michael Palin,For a penguin to have the same size of brain as a man the penguin would have to be over sixty-six feet high.
3940,Michael Palin,Soon these feathery little hustlers were infiltrating important positions everywhere.
3941,John Cleese,We must study them in conditions of absolute secrecy.
3942,John Cleese,Look out!
3943,John Cleese,He hasn't gone off.
3944,John Cleese,Yes my General!
3945,Michael Palin,Good evening.
3946,Michael Palin,The legendary south face of Ben Medhui* dark ... forbidding...
3947,John Cleese,Was Sir Walter Scott a loony* or was he the greatest flowering of the early nineteenth-century romantic tradition? The most underestimated novelist of the nineteenth century...
3948,John Cleese,. . . or merely a disillusioned and embittered man ...
3949,Michael Palin,Excuse me ...
3950,Michael Palin,can I borrow that* please.
3951,John Cleese,... yes.
3952,Michael Palin,Thank you.
3953,Michael Palin,The Forestry Commission systematically replanted this entire area...
3954,John Cleese,Excuse me.
3955,Michael Palin,Sh! That's forty thousand acres of virgin forest. By 1980 this will have risen to two hundred thousand acres of soft woods. In commercial terms* a coniferous cornucopia... an evergreen El Dorado...
3956,Michael Palin,... a tree-lined treasure trove ... No ... a fat fir-coned future for the financiers ... but what of the cost ...
3957,John Cleese,It's mine!
3958,Michael Palin,Go away ... in human terms? Who are the casualties?
3959,John Cleese,For this was Sir Walter Scott's country. Many of his finest romances* such as 'Guy Mannering' and 'Redgauntlet'...
3960,Michael Palin,Give that back!
3961,John Cleese,No.
3962,John Cleese,Scott showed himself to be not only a fine...
3963,Michael Palin,The spruces and flowers of this forest will be used to create a whole new industry here in...
3964,John Cleese,... also a writer of humour and...
3965,Michael Palin,Britain's timber resources are being used up at a rate of...
3966,John Cleese,One man who knew Scott was Angus Tinker.
3967,John Cleese,In the Waverley novels... Scott was constantly concerned to protect a way of life...
3968,John Cleese,....safeguarding nationalist traditions and aspiration* within the necessary limitations of the gothic novel...
3969,Michael Palin,Then... theen... the... the end! The End.
3970,John Cleese,And now...
3971,Michael Palin,It's...
3972,John Cleese,There is only one thing in the world worse than being witty* and that is not being witty.
3973,John Cleese,You will* Oscar* you will.
3974,John Cleese,You did* Oscar* you did.
3975,John Cleese,I never said that.
3976,John Cleese,... Well* Your Highness* what I meant was that* like a doughnut* um* your arrival gives us pleasure and your departure only makes us hungry for more.
3977,John Cleese,Your Highness* you are also like a stream of bat's piss.
3978,John Cleese,It was one of Wilde's. One of Wilde's.
3979,Michael Palin,I ... I merely meant* Your Majesty* that you shine out like a shaft of gold when all around is dark.
3980,John Cleese,Before you arrive - before you arrive is pleasure* and after is a pain in the dong.
3981,Michael Palin,You bastards. Um ... what I meant* Your Majesty* what I meant ...
3982,John Cleese,Come on* Shaw-y.
3983,Michael Palin,I merely meant ...
3984,John Cleese,Let's have a bit of wit* then* man.
3985,John Cleese,Who is-a Geoff Boycott?
3986,Michael Palin,And in t'film* we get Fred Titmus...
3987,John Cleese,Si* Titmus* si* si...
3988,Michael Palin,...the symbol of man's regeneration through radical Marxism...fair enough...but we never once get a chance to see him turn his off-breaks on that Brisbane sticky.
3989,John Cleese,Er* hello Mr and Mrs and Mrs Zambesi?
3990,John Cleese,No* I've just come to say that he's on his way. Would you sign this please.
3991,John Cleese,Thank you very much.
3992,John Cleese,Thank you. Sorry to bother you.
3993,John Cleese,Thank you.
3994,John Cleese,Um* he's just coming now.
3995,John Cleese,Here he is.
3996,Michael Palin,Good morning - Mr and Mrs and Mrs Zambesi?
3997,Michael Palin,All right* Rutherford* I'll take over.
3998,Michael Palin,Yes* we sell a lot of these. Right* shall we try a fitting?
3999,Michael Palin,No* madam* you just strap it on.
4000,Michael Palin,Not the Roadster* madam* no. You're thinking of the Brainette Major.
4001,Michael Palin,Forty-four-and-six.
4002,Michael Palin,Not with the Curry's surgery we use* no* madam.
4003,Michael Palin,Now then. The best bet is the Bertrand Russell Super Silver. That's a real beauty - 250 quid plus hospital treatment.
4004,Michael Palin,It's colour. Right.
4005,Michael Palin,One* two* three* testing* testing.
4006,Michael Palin,Quiet please. It's not adjusted yet.
4007,Michael Palin,Right* one* two* three ...
4008,Michael Palin,Quiet please. Mrs Zambesi* who wrote the theory of relativity?
4009,Michael Palin,Quiet* please!
4010,Michael Palin,Good.
4011,Michael Palin,Right. That'll be 13/6d please.
4012,Michael Palin,She can take it off at night* unless she wants to read* of course. And don't ask her too many questions because it will get hot. If you do have any trouble here is my card.
4013,Michael Palin,Good Bye.
4014,John Cleese,He's gone now.
4015,John Cleese,Blood donors that way* please.
4016,John Cleese,Thank you.
4017,John Cleese,No. There is no such thing as a urine bank.
4018,John Cleese,No. We have no call for it. We've quite enough of it without volunteers coming in here donating it.
4019,John Cleese,No* we don't want a specimen. We either want your blood or nothing.
4020,John Cleese,What?
4021,John Cleese,No* no* just go away please.
4022,John Cleese,Fine* well you don't have to* you see* just go away.
4023,John Cleese,No.
4024,John Cleese,No* look* this is a blood bank - all we want is blood.
4025,John Cleese,Wher did you get that?
4026,John Cleese,What group is it?
4027,John Cleese,There's A...
4028,John Cleese,Wait a moment. It's mine. This blood is mine! What are you doing with it?
4029,John Cleese,You
4030,John Cleese,it? You stole it out of my body* didn't you?
4031,John Cleese,No wonder I'm feeling off-colour.
4032,John Cleese,Give that back.
4033,John Cleese,It is not yours. You stole it.
4034,John Cleese,Give it back to me.
4035,John Cleese,...Get in the queue.
4036,Michael Palin,Good afternoon and welcome to Wife-Swapping from Redcar. And the big news this morning is that the British boy Boris Rodgers has succeeded in swapping his nine-stone Welsh-born wife for a Ford Popular and a complete set of Dickens. Well now* I can see they're ready at the start and so let's go now over for the start of the 3.30.
4037,Michael Palin,And first let's catch up with the latest news of the betting.
4038,Michael Palin,And here's the starter Mrs Alec Marsh*
4039,Michael Palin,and they're off.
4040,Michael Palin,And Mrs Rodgers is the frirst to show* there she goes into Mr Johnson's* and Mrs Johnson across too Mr Colyer* followed closely by Mrs Casey on the inside. Mrs Parkinson* number 12* going well there into Mr Webster's from the Co-op* Mrs Colyer's making ground fast after a poor start* she's out of Mr Casey's into Mr Parkinson's* she's a couple og lengths ahead of Mrs Johnson who's still not out of Mr Casey's. Mrs Penguin and Mrs Colyer - these two now at the head of the field from Mrs Brown* Mrs Atkins* Mrs Parkinson* Mrs Warner and Mrs Rudd - all still at Mr Phillip's. Mrs Penguin making the running now* challenged strongly by Mrs Casey* Mars Casey coming very fast on the inside* it's going to be Mrs Casey coming from behind. Now she's making a break on the outside* Mrs Penguin running...and at the line it's Mrs Casey who's got it by a short head from Mrs Penguin in second place* Mrs Parkinson in third* Mrs Rudd* Mrs Colyer* Mrs Warner and there's Mrs Griffiths who's remained unswapped.
4041,Michael Palin,Well* a very exciting race there* and I have with me now the man who owned and trained the winner* Mrs Casey - Mr Casey. Well done* Jack.
4042,Michael Palin,Well* were you at all surprised about this* Jack?
4043,Michael Palin,Well* thank you very much indeed* Jack. We must leave you now because it's time for the team event.
4044,Michael Palin,And now it's time for Rugby League* and highlights of this afternoon's game between Keighley and Hull Kingston Rovers.
4045,Michael Palin,Just a reminder that on 'Match of the Day' tonight you can see highlights of two of this afternoon's big games. Mrs Robinson v Manchester United and Southampton v Mr Rogers* a rather unusual game that. And here's a late result...Convetry nil* Mr Johnson's Una three - Coventry going down at home* there. Just a little reminder that the next sport you can see on BBS 1 will be 9.20 on Wednesday night* when 'Wife Swapping with Coleman' comes live from my place. Till then* goodnight.
4046,Michael Palin,Oh* my God!
4047,Michael Palin,come on... come on... momentous ascent* the brothers took one last look at their craft* as it stood on the field of Annencay.
4048,Michael Palin,It's er... very nice to be here.
4049,Michael Palin,Yes... yes* oh definitely... yes... yes. Oh aye* aye.
4050,Michael Palin,Where?
4051,Michael Palin,Oh yes* we've come from Paris... yes... yes* yes* we've just come from... er... Paris... yes.
4052,Michael Palin,Well... er... Mr Montgolfier... let's not beat around the bush ... my... dukes and I are very busy men. What we'd like to do is see the plans of your proposed balloon... if that's at all possible.
4053,Michael Palin,Oh* great .... then... what we would like to do ... is er... to take them back with us for the Royal Archives of er...
4054,Michael Palin,France* aye.
4055,Michael Palin,Right! OK! Let's get 'em.
4056,Michael Palin,Did I say Louis XIV? Oh* sorry* I meant Louis XV... Louis XV.
4057,Michael Palin,All right* Louis
4058,Michael Palin,!... listen to me* smartarse* when you're King of France*... you've got better things to do than go around all day remembering your bloody number.
4059,Michael Palin,Right! You want to argue about numbers?
4060,Michael Palin,Right* well... lets get hold of the plans for the Royal Archives. We've got to get back to... er...
4061,Michael Palin,Paris by tonight so get a move on..
4062,Michael Palin,Will Louis XVI get away with the Montgolfiers' precious plans? Is sixteen years of work to be stolen by this suspect sovereign? Is France really in the grip of a Glaswegian monarch? Watch next week's episode of 'The Golden Age of Ballooning'... Now!
4063,Michael Palin,Lord Interest?
4064,Michael Palin,The Montgolfier brothers' plans did indeed turn up... six months later* and a long way from Paris* at the court of King George III of England.
4065,Michael Palin,Your Majesty... I am Louis XVI as you so rightly say* and I don't want to muck about. I have a wee proposition which could make the name of George IV the most respected in Europe...
4066,Michael Palin,George III! Sorry. Where can we talk?
4067,Michael Palin,No no* look* I can't hang about. It's take it or leave... we got to get back to... er...
4068,Michael Palin,Paris* by tonight...
4069,Michael Palin,I'd rather just sell the plans and nip off* Georgie boy.
4070,Michael Palin,Do what?
4071,Michael Palin,Ten thousand
4072,Michael Palin,! Right* well* we'll disengage the* urn* you know... like you said - we'll disengage 'em... tell you what* then* I'll put a duke on to it... OK? Right!
4073,Michael Palin,You asked for it* sonny.
4074,Michael Palin,No* look* I think it's better if you give the money to us. We're going back. We've got a bag.
4075,Michael Palin,Ah! Well* actually* we'd rather you didn't... we've been having a wee bit of trouble with him... you know what I mean?
4076,Michael Palin,Er... aye* yeah... the trouble is he's been drinking a bit recently ... you' know* fourteen lagers with his breakfast... that sort of thing.
4077,Michael Palin,Oh* Christ!
4078,Michael Palin,I got it right!
4079,Michael Palin,Listen* you spotty sassenach pillock..
4080,Michael Palin,George III was arranged and composed by Neil Innes. He is available from the BBC price £4 or eight months' imprisonment.
4081,Michael Palin,Ferdinand von Zeppelin was born in Constance in 1838* the brother of Barry Zeppelin* the least talented of the fourteen Zeppelin brothers.
4082,Michael Palin,Meanwhile for Ferdinand von Zeppelin* the year 1908 was a year of triumph.
4083,Michael Palin,Herr Zeppelin - it's wonderful! It's put ballooning right back on the map.
4084,Michael Palin,Well* it's very nice anyway.
4085,Michael Palin,Yorkshire ... pudding. A type of thick pancake* eaten with large ...
4086,Michael Palin,Za... bag... lione... a sort of cream mouse... mousse of Italian origin...
4087,Michael Palin,Ferdinand... that was a Minister of State you just threw out of the balloon.
4088,Michael Palin,All right* I'm sorry.
4089,Michael Palin,Zu... cchin... ni ... Italian... ma... flows...
4090,Michael Palin,With tiny pieces of sliced...
4091,Michael Palin,What? Prince Von Bülow? Here?
4092,Michael Palin,Coming here?
4093,Michael Palin,Oh* I must go and put my old uniform on.
4094,Michael Palin,Dead? Here?
4095,Michael Palin,This is our sitting room* dear.
4096,Michael Palin,room!
4097,Michael Palin,Well...
4098,Michael Palin,Which one is Von Bülow?
4099,Michael Palin,Oh* ja ... and Admiral Tirpitz!
4100,Michael Palin,And Von Müller... and Herr Reichner... and Hollweg and Von Graunberg...
4101,Michael Palin,He's a lot older than I thought.
4102,Michael Palin,... and Zimmermann ... and Kimpte...
4103,Michael Palin,We must ring the Government.
4104,Michael Palin,Oh dear.
4105,Michael Palin,room.
4106,Michael Palin,There are no members of the Government dead in our sitting room.
4107,Michael Palin,Perhaps I should make a little speech or something?
4108,Michael Palin,Shall we make them a cup of tea?
4109,Michael Palin,But we must do something - so many important people in our drawing room - we must do
4110,Michael Palin,.
4111,Michael Palin,And make a little list.
4112,Michael Palin,And we can sort them out alphabetically?
4113,Michael Palin,Ja.
4114,Michael Palin,That is my reading chair.
4115,Michael Palin,All right ... but I think he would have been better up against the clock* you know.
4116,Michael Palin,I did not say
4117,Michael Palin,the clock.
4118,Michael Palin,We could put the Minister for Colonies under the clock. He's small.
4119,Michael Palin,Soon we shall be able to make a list.
4120,Michael Palin,I don't know. I've never seen him before.
4121,Michael Palin,He's
4122,Michael Palin,the drawing room* my dear.
4123,Michael Palin,Put him in the sitting room.
4124,Michael Palin,You can put him in the sitting room if he's in the drawing room.
4125,Michael Palin,Count Ferdinand Von Zeppelin's behaviour on that flight in 1900 had incredible* far-reaching consequences* for one of the falling Ministers
4126,Michael Palin,producer and director of 'The Golden Age of Ballooning'.
4127,Michael Palin,Woooooo ....ooooooo...
4128,Michael Palin,Yes* sir* can I be of any assistance?
4129,Michael Palin,I'm sorry* sir... try what?
4130,Michael Palin,I'm afraid I don't* sir.
4131,Michael Palin,I don't think I was* sir.
4132,Michael Palin,There seems to have been some sort of misunderstanding* sir.
4133,Michael Palin,Yes* I'm the manager.
4134,Michael Palin,It's a smashing store this* I can't recommend it too highly* well-lit* rat-free. It's a joy to manage. Oh yes* the freshest haddock in London* second floor* third floor Ribena* ants here* television and flame throwers over there* behind them our dinner-wagon exhibition closes at six...
4135,Michael Palin,Yes - good morning* sir - can I help you?
4136,Michael Palin,Ah yes - and what price were you thinking of paying* sir?
4137,Michael Palin,Well sir* they start about half a p. but they can go as high as three p. or even three and a half p. for a champion - inflation I'm afraid...
4138,Michael Palin,Ah yes* well you should get a very serviceable little animal for that* sir. Quite frankly the half pence ones are a bit on the mangy side ... What length was sir thinking of?
4139,Michael Palin,Medium. Medium. Here we are* sir.
4140,Michael Palin,That one there is an Ayrshire* and that one there is a King George bitch I think ... and that one killing the little flitbat is an Afghan.
4141,Michael Palin,Let's see how you get on with him* eh?
4142,Michael Palin,Ah yes* he likes you. He's taken to you.
4143,Michael Palin,Blancmange.
4144,Michael Palin,I'm sorry. I don't know why I said that. No* you don't feed them at all.
4145,Michael Palin,They don't. They die.
4146,Michael Palin,Well of course they do* if you don't feed them.
4147,Michael Palin,You let them die* then you buy another one. It's much cheaper than feeding them and that way you have a constant variety of little companions.
4148,Michael Palin,That's the advantage of owning an ant.
4149,Michael Palin,Never mind. Here's another one.
4150,Michael Palin,Yes* sir - you'll need an ant house.
4151,Michael Palin,This is the model we recommend* sir.
4152,Michael Palin,Yes.
4153,Michael Palin,Well* none at all really. And then some pieces of cage furniture which will keep him entertained.
4154,Michael Palin,Here's an ant-wheel* ant-swing* and a very nice one here* a little ladder - he can run up there and ring the bell at the top* that's a little trick he can learn.
4155,Michael Palin,Not really* no* but it's best to have one just in case* and here's a two-way radio he can play with... and of course you'll need the book.
4156,Michael Palin,Yes* the book on ants.
4157,Michael Palin,So* sir* that is* if I may say so* one hundred and eighty-four pounds one and a half p.* sir.
4158,Michael Palin,Yes* sir* if you don't mind leaving a blood-sample* and a piece of skin off the back of the scalp just here* sir ...
4159,Michael Palin,I should* sir... much less painful. Anyway sir* you know what they say about an ant. A friend for life* eh? Well* a friend for its life anyway...
4160,Michael Palin,If the little chap should go to an early grave* sir* give us a ring and we'll stick a few in an envelope* all right?
4161,Michael Palin,Not at all* thank
4162,Michael Palin,* Mr Ellis.
4163,Michael Palin,I said thank you* Mr Ellis...
4164,Michael Palin,Oh!
4165,Michael Palin,Who?
4166,Michael Palin,Hello and welcome to the University of the Air. And first this afternoon* part seventeen in our series of lectures on animal communications. This afternoon we look at recent discoveries in the field of intraspecific signalling codes in the family formicidea.
4167,Michael Palin,We interrupt this programme to bring you the latest news of the extraordinary Michael Ellis saga. Apparently Michael Ellis...
4168,Michael Palin,... nd of the announcement. And now back to 'University of the Air'* and our series for advanced medical students* 'Elements of Surgical Homeopathic Practice'. Part 68 - 'Ants'.
4169,Michael Palin,Hello formicidophiles! Before the blood and guts that you're waiting to see* let's have a look at the anatomy of the little ant.
4170,Michael Palin,Second floor ... stationery* leather goods* tribal head injuries* cricket bats* film stars* dolphinariums.
4171,Michael Palin,Third floor ... cosmetics* books* Irish massage* tribal head-gear* ants..
4172,Michael Palin,about ants!
4173,Michael Palin,Straight on* then left* then right past the thing* then* up the little stairs* then right by where it's gone all soft* then down the wobbly bit* left past the nail* past the brown stain on the wall to your right and it's the door marked exit straight ahead of you on the left.
4174,Michael Palin,Fourth floor... kiddies' vasectomies...
4175,Michael Palin,Sorry?
4176,Michael Palin,The what?
4177,Michael Palin,Oh* the
4178,Michael Palin,Gladys* where are toupees now?
4179,Michael Palin,This gentleman wants one.
4180,Michael Palin,That's right* yes* you go left at artificial limbs and hearing aids* right at dentures and it's on your left just by glass eyes. It doesn't say toupees to avoid embarrassing people* but you can smell 'em.
4181,Michael Palin,My loyal subjects* we are here today on a matter of national import. My late husband and we are increasingly disturbed by recent developments in literary style
4182,Michael Palin,that have taken place here in Germany ... er England. There seems to be an increasing tendency for ze ent... the ent... the ant... to become the dominant ... was is der deutsches Entwicklungsbund...
4183,Michael Palin,Theme ... of modern poetry here in Germany. We are not ... amusiert?
4184,Michael Palin,Entertained. From now on* ants is verboten. Instead it's skylarks* daffodils* nightingales* light brigades and ... was ist das schreckliche Gepong ... es schmecke wie ein Scheisshaus... und so weiter. Well* we must away now or we shall be late for the races. God bless you alles.
4185,Michael Palin,Have you got one?
4186,Michael Palin,So did I.
4187,Michael Palin,That is good.
4188,Michael Palin,How did you know?
4189,Michael Palin,Is it?
4190,Michael Palin,It's better than yours.
4191,Michael Palin,Oh no* not again.
4192,Michael Palin,Yeah* look at it. Where did you get that* Mac Fisheries?
4193,Michael Palin,There's no need to be ashamed.
4194,Michael Palin,Complain about an ant?
4195,Michael Palin,All right. Take a seat.
4196,Michael Palin,Yes* madam. I'll speak to the makers personally* all right?
4197,Michael Palin,Next?
4198,Michael Palin,Yes* yes* I'll see to you in a moment* sir.
4199,Michael Palin,Do take a seat. I'm sorry it's on fire.
4200,Michael Palin,Where were you out east?
4201,Michael Palin,Extinguisher?
4202,Michael Palin,Are there many fires in Norway?
4203,Michael Palin,I am sorry to hear that.
4204,Michael Palin,No* I meant...
4205,Michael Palin,Yes* yes - well look...
4206,Michael Palin,Yes. It was quite a good show. I think that the Michael Ellis character was a little overdone.
4207,Michael Palin,Taking life as it comes* sharing the good things and the bad things* finding laughter and fun wherever they go - it is with these two happy-go-lucky rogues that our story begins.
4208,Michael Palin,Len Hanky! Chiropodist* voyeur* hen-teaser. The man of whom the chairman of Fiat once said...
4209,Michael Palin,Yes! Tonight we examine the career of Gino Agnelli! The man who started from nothing to build up one of the greatest firms in Europe.
4210,Michael Palin,Bunch of monkeys on the ceiling* sir! Grab your egg and fours and let's get the bacon delivered!
4211,Michael Palin,You know...bally ten-penny ones dropping in the custard...
4212,Michael Palin,un...Charlie Choppers chucking a handful...
4213,Michael Palin,Slower
4214,Michael Palin,* sir?
4215,Michael Palin,Um...sausage squad up the blue end?
4216,Michael Palin,Um...cabbage crates coming over the briny?
4217,Michael Palin,Sir* we all know ...
4218,Michael Palin,I'm sorry?
4219,Michael Palin,Sir* we all know the facts of this case; that Sapper Walters* being in possession of expensive military equipment* to wit one Lee Enfield .303 rifle and 72 rounds of ammunition* valued at a hundred and forty pounds three shillings and sixpence* chose instead to use wet towels to take an enemy command post in the area of Basingstoke ...
4220,Michael Palin,No* no* no* sir* no.
4221,Michael Palin,The result of his action was that the enemy ...
4222,Michael Palin,Basingstoke in Westphalia* sir.
4223,Michael Palin,The result of Sapper Walters's action was that the enemy received wet patches upon their trousers and in some cases small red strawberry marks upon their thighs ...
4224,Michael Palin,It's on the map* sir.
4225,Michael Palin,The map of Westphalia as used by the army* sir.
4226,Michael Palin,It's a municipal borough sir* twenty-seven miles north-north east of Southhampton. Its chief manufactures ...
4227,Michael Palin,Yes sir ... bricks ... clothing. Nearby are remains of Basing House* burned down by Cromwell's cavalry in 1645 ...
4228,Michael Palin,Cole Porter* sir.
4229,Michael Palin,No* alas not* sir ... this was Cole Porter who wrote `Anything Goes'. Sir* I shall seek to prove that the man before this court ...
4230,Michael Palin,I
4231,Michael Palin,your pardon* sir?
4232,Michael Palin,No* this one's different* sir.
4233,Michael Palin,What* sir?
4234,Michael Palin,Sir* really* this is rather ...
4235,Michael Palin,With respect sir* I shall seek to prove that the man before you in the dock being in the possession of the following: one pair of army boots* value three pounds seven and six* one pair of serge trousers* value two pounds three and six* one pair of gaiters value sixty-eight pounds ten shillings* one ...
4236,Michael Palin,They were special gaiters* sir.
4237,Michael Palin,Yes* sir* they were made in France. One beret costing fourteen shillings* one pair of ...
4238,Michael Palin,Oh ...
4239,Michael Palin,they were made of a special fabric* sir. The buckles were made of empire silver instead of brass. The total value of the uniform was there ...
4240,Michael Palin,They were a presentation pair sir* from the regiment. The total value of the uniform ...
4241,Michael Palin,Sir* it seems to me totally irrelevant to the case whether the gaiters were presented to him or not* sir.
4242,Michael Palin,He ... used to do things for them. The total value ...
4243,Michael Palin,He .. he used to oblige them* sir. The total value ...
4244,Michael Palin,Yes* sir. The total value of the uniform ...
4245,Michael Palin,What sir?
4246,Michael Palin,He ... um ... used to make them happy in little ways* sir. The total value of the uniform could therefore not have been less than ...
4247,Michael Palin,Sir! I submit that this is totally irrelevant.
4248,Michael Palin,He used to ram things up their ...
4249,Michael Palin,Sir! We haven't finished the prosecution!
4250,Michael Palin,Yes! Coming to this cinema soon!
4251,Michael Palin,THRILL! to the excitement of a night emission over Germany.
4252,Michael Palin,When the pilot* Jennifer
4253,Michael Palin,With Ginger* as the half-man* half-woman* parrot whose unnatural instincts brought forbidden love in the aviary. And Roger as Pip* the half-parrot* half-man* half-woman* three-quarter badger* ex-bigamist negro preacher* for whom banjo-playing was very difficult* and he never mastered it although he took several courses and went to banjo college ... er ... and everything ... don't miss it!
4254,Michael Palin,Coming to your cinema soon!
4255,Michael Palin,Only five minutes from this restaurant! But now!
4256,Michael Palin,It's ...
4257,Michael Palin,Budgie?
4258,Michael Palin,I had a budgie once you know* amusing little chap* used to stick his head in a bell ... what was his name* now ... Joey? ... Xerxes? ...
4259,Michael Palin,Mr Heath* that was the name of the budgie.
4260,Michael Palin,What ... give them different names?
4261,Michael Palin,How about `Dad's Navy'?
4262,Michael Palin,`I Married Lucy.'
4263,Michael Palin,Oh* yes* a long time ago* though* they'd never remember it.
4264,Michael Palin,`I Married A Tree.'
4265,Michael Palin,`I Married Three Rabbit Jelly Moulds'!
4266,Michael Palin,You're in security* aren't you?
4267,Michael Palin,I say* mater* cabbage crates coming over the briny.
4268,Michael Palin,Er...cow-catchers creeping up on the conning towers...
4269,Michael Palin,Caribou nibbling at the croquet hoops.
4270,Michael Palin,Oh* jolly good show. Is 'Becca about?
4271,Michael Palin,What a super woody sort of phrase. `Gorn orff'.
4272,Michael Palin,Oh* what rotten luck ... oh well ... whole afternoon to kill ... better have a bath I suppose.
4273,Michael Palin,Oh* OK.
4274,Michael Palin,For ... she's going to marry Yum Yum ... oh crikey. The old song finished her orff.
4275,Michael Palin,I'm afraid Mrs Vermin Jones appears to have passed orn.
4276,Michael Palin,Fraid so.
4277,Michael Palin,Dr Natal ... out please!
4278,Michael Palin,Out please! I'm terribly sorry* sir. We have a lot of problems here with bogus psychiatrists. One of the risks in psychiatry I'm afraid. Unfortunately they do tend to frighten the patient and they can cause real and permanent damage to the treatment. But I assure you that I am a completely bona fide psychiatrist. Here's my diploma in psychiatry from the University of Oxford. This here shows that I'm a member of the British Psychiatric Association* a very important body indeed. Here's a letter from another psychiatrist in which he mentions that I'm a psychiatrist. This is my Psychiatric Club tie* and as you can see the cufflinks match. I've got a copy of 'Psychiatry Today' in my bag* which I think is pretty convincing. And a letter here from my mother in which she asks how the psychiatry is going* and I think you'll realize that the one person you can't fool is your mother. So if you'd like to ask me any questions about psychiatry* I bet I can answer them.
4279,Michael Palin,OK* you've got this girl on your bed* you've had a few drinks* you've got her stretched out and her feet on the mantelpiece ...
4280,Michael Palin,yes* what is it?
4281,Michael Palin,Oh* oh my God! Ok* thank you.
4282,Michael Palin,Is this your chair?
4283,Michael Palin,It's been stolen!
4284,Michael Palin,This belongs to a Mrs Edgeworth of Pinner - she's standing over there.
4285,Michael Palin,It's got her name on the bottom.
4286,Michael Palin,You don't believe I'm a policeman* do you?
4287,Michael Palin,What am I wearing on my head?
4288,Michael Palin,A policeman's helmet!
4289,Michael Palin,You see that?
4290,Michael Palin,That little number there?
4291,Michael Palin,That is a Metropolitan Area Identification Code. No helmet is authentic without that number.
4292,Michael Palin,Kids helmets* helmets you get in toy shops* helmets you buy at Christmas. None of them is authentic ... Hang on.
4293,Michael Palin,Hang on!
4294,Michael Palin,Mind you I didn't join the police force just to wear the helmets you know. That just happens to be one of the little perks. There are plenty of jobs where I could have worn a helmet* but not such a nice helmet.
4295,Michael Palin,This helmet* I think* beats even some of the more elaborate helmets worn by the Tsar's private army* the so-called Axi red warriors. You know about them?
4296,Michael Palin,Ah! Their helmets used to look like ... you got any paper?
4297,Michael Palin,I'll have that!
4298,Michael Palin,Now then. Their helmet was not unlike the bobby's helmet in basic shape. It had an emblem here* and three gold - and in those days it really was gold* that's part of the reason the Tsar was so unpopular - three gold bands surmounted by a golden eagle on the apex here. Pretty nice helmet* eh?
4299,Michael Palin,I think the domed helmet wins every time over the flattened job* you know* even when they're three cornered ...
4300,Michael Palin,... you want something to eat?
4301,Michael Palin,Hang on. You can't park here you know.
4302,Michael Palin,No parked! What's that then?
4303,Michael Palin,Right. I'm taking that in for forensic examination.
4304,Michael Palin,Because it might have been used as a murder weapon* that's why!
4305,Michael Palin,Beer?
4306,Michael Palin,Now* the Chaldeans* who used to inhabit the area in between the Tigris and Euphrates rivers* their helmets were of the modular restrained kind of type ...
4307,Michael Palin,Oh you are* you are!
4308,Michael Palin,Of course I do.
4309,Michael Palin,Of course not.
4310,Michael Palin,What?
4311,Michael Palin,No* of course I don't mind your father coming to live with us.
4312,Michael Palin,What do you mean?
4313,Michael Palin,He wants to put his bed in our room?
4314,Michael Palin,Oh good ...
4315,Michael Palin,No. I'm not having that.
4316,Michael Palin,Well I do* but ...
4317,Michael Palin,He's bound to peek.
4318,Michael Palin,No! No! No!!
4319,Michael Palin,No* no.
4320,Michael Palin,Oh yes* all right* yes.
4321,Michael Palin,Good night.
4322,Michael Palin,It's not the Cutty Sark!
4323,Michael Palin,That was a great fight* Champ* a great fight* you hear! Oh boy* what a fight* Champ* what a great fight! You nearly had him* Champ* you nearly had him ... where's his head?
4324,Michael Palin,You were great* Champ* d'you hear* you were great!
4325,Michael Palin,Yeah* I think it was a mistake him wearing spectacles.
4326,Michael Palin,Oh well* get that sewn onto his body in time for the press pictures.
4327,Michael Palin,Wasn't he great my boy?
4328,Michael Palin,The way he kept fighting after his head came off!
4329,Michael Palin,Yeah* I reckon that if he could've lasted till the end of that first minute* he would've had the Killer worried.
